Nr,TID,PID,x [micron],y [micron],t [sec],I [val],Len [micron],D2S [micron],D2R [micron],D2P [micron],v [micron/sec],? [deg],?? [deg]
1,1,1,793.173,611.444,0,255,0,0,NA,NA,NA,NA,NA
2,1,2,793.678,611.444,925.311,255,0.505,0.505,NA,0.505,5.456E-4,0,NA
3,1,3,793.678,611.444,1850.622,250,0.505,0.505,NA,0,0,0,0
4,1,4,793.173,610.434,2775.933,225,1.634,1.01,NA,1.129,0.001,-116.565,-116.565
5,1,5,792.163,609.929,3701.244,207,2.762,1.82,NA,1.129,0.001,-153.435,-36.87
6,1,6,792.163,609.929,4626.555,251,2.762,1.82,NA,0,0,0,153.435
7,1,7,792.163,609.929,5551.866,229,2.762,1.82,NA,0,0,0,0
8,1,8,792.163,609.929,6477.177,207,2.762,1.82,NA,0,0,0,0
9,1,9,790.649,609.424,7402.488,194,4.359,3.232,NA,1.596,0.002,-161.565,-161.565
10,1,10,790.649,609.424,8327.799,255,4.359,3.232,NA,0,0,0,161.565
11,1,11,790.649,609.424,9253.11,198,4.359,3.232,NA,0,0,0,0
12,1,12,790.649,609.424,10178.421,204,4.359,3.232,NA,0,0,0,0
13,1,13,790.649,609.424,11103.732,200,4.359,3.232,NA,0,0,0,0
14,1,14,790.649,609.424,12029.043,206,4.359,3.232,NA,0,0,0,0
15,1,15,788.63,609.424,12954.354,240,6.378,4.972,NA,2.019,0.002,180,180
16,1,16,786.106,607.405,13879.665,232,9.61,8.14,NA,3.232,0.003,-141.34,38.66
17,1,17,786.106,607.405,14804.976,164,9.61,8.14,NA,0,0,0,141.34
18,1,18,785.601,606.9,15730.287,195,10.324,8.83,NA,0.714,7.715E-4,-135,-135
19,1,19,785.601,606.9,16655.598,181,10.324,8.83,NA,0,0,0,135
20,1,20,785.601,606.9,17580.909,123,10.324,8.83,NA,0,0,0,0
21,1,21,785.601,606.9,18506.219,172,10.324,8.83,NA,0,0,0,0
22,1,22,785.601,606.9,19431.53,126,10.324,8.83,NA,0,0,0,0
23,1,23,785.601,606.396,20356.841,96,10.829,9.1,NA,0.505,5.456E-4,-90,-90
24,1,24,785.601,606.396,21282.152,155,10.829,9.1,NA,0,0,0,90
25,1,25,785.601,605.891,22207.463,221,11.334,9.39,NA,0.505,5.456E-4,-90,-90
26,1,26,785.601,605.891,23132.774,124,11.334,9.39,NA,0,0,0,90
27,1,27,785.601,605.891,24058.085,255,11.334,9.39,NA,0,0,0,0
28,1,28,785.601,605.386,24983.396,198,11.839,9.697,NA,0.505,5.456E-4,-90,-90
29,1,29,785.601,605.386,25908.707,193,11.839,9.697,NA,0,0,0,90
30,1,30,785.601,603.367,26834.018,128,13.858,11.071,NA,2.019,0.002,-90,-90
31,1,31,785.601,603.367,27759.329,142,13.858,11.071,NA,0,0,0,90
32,1,32,785.601,603.367,28684.64,238,13.858,11.071,NA,0,0,0,0
33,1,33,784.591,600.338,29609.951,158,17.05,14.035,NA,3.193,0.003,-108.435,-108.435
34,1,34,784.087,598.319,30535.262,255,19.132,15.963,NA,2.081,0.002,-104.036,4.399
35,1,35,784.087,598.319,31460.573,242,19.132,15.963,NA,0,0,0,104.036
36,1,36,784.087,595.29,32385.884,128,22.161,18.534,NA,3.029,0.003,-90,-90
37,1,37,784.087,595.29,33311.195,115,22.161,18.534,NA,0,0,0,90
38,1,38,784.087,594.785,34236.506,127,22.665,18.976,NA,0.505,5.456E-4,-90,-90
39,1,39,784.087,593.271,35161.817,101,24.18,20.318,NA,1.514,0.002,-90,0
40,1,40,782.572,587.213,36087.128,166,30.424,26.448,NA,6.244,0.007,-104.036,-14.036
41,1,41,781.058,583.175,37012.439,120,34.737,30.756,NA,4.313,0.005,-110.556,-6.52
42,1,42,781.058,583.175,37937.75,223,34.737,30.756,NA,0,0,0,110.556
43,1,43,781.058,583.175,38863.061,182,34.737,30.756,NA,0,0,0,0
44,1,44,781.058,583.175,39788.372,213,34.737,30.756,NA,0,0,0,0
45,1,45,781.058,583.175,40713.683,167,34.737,30.756,NA,0,0,0,0
46,1,46,781.058,583.175,41638.994,154,34.737,30.756,NA,0,0,0,0
47,1,47,781.058,583.175,42564.305,147,34.737,30.756,NA,0,0,0,0
48,1,48,781.058,583.175,43489.616,83,34.737,30.756,NA,0,0,0,0
49,1,49,781.058,583.175,44414.927,51,34.737,30.756,NA,0,0,0,0
50,1,50,783.582,581.66,45340.238,82,37.68,31.29,NA,2.943,0.003,-30.964,-30.964
51,1,51,783.582,581.66,46265.549,81,37.68,31.29,NA,0,0,0,30.964
52,1,52,783.582,581.66,47190.86,113,37.68,31.29,NA,0,0,0,0
53,1,53,782.572,580.651,48116.171,142,39.108,32.567,NA,1.428,0.002,-135,-135
54,1,54,782.572,580.651,49041.482,161,39.108,32.567,NA,0,0,0,135
55,1,55,782.572,580.651,49966.793,85,39.108,32.567,NA,0,0,0,0
56,1,56,782.572,580.651,50892.104,142,39.108,32.567,NA,0,0,0,0
57,1,57,782.572,580.651,51817.415,135,39.108,32.567,NA,0,0,0,0
58,1,58,782.572,580.651,52742.726,182,39.108,32.567,NA,0,0,0,0
59,1,59,782.572,580.651,53668.036,105,39.108,32.567,NA,0,0,0,0
60,1,60,782.572,580.651,54593.347,166,39.108,32.567,NA,0,0,0,0
61,1,61,780.553,575.603,55518.658,103,44.545,37.998,NA,5.437,0.006,-111.801,-111.801
62,1,62,780.553,575.603,56443.969,154,44.545,37.998,NA,0,0,0,111.801
63,1,63,779.039,574.088,57369.28,130,46.687,39.94,NA,2.142,0.002,-135,-135
64,1,64,773.99,566.011,58294.591,98,56.211,49.316,NA,9.525,0.01,-122.005,12.995
65,1,65,772.981,561.468,59219.902,105,60.866,53.901,NA,4.654,0.005,-102.529,19.477
66,1,66,770.962,557.934,60145.213,136,64.935,57.936,NA,4.07,0.004,-119.745,-17.216
67,1,67,768.942,550.867,61070.524,119,72.285,65.243,NA,7.35,0.008,-105.945,13.799
68,1,68,766.418,546.829,61995.835,130,77.048,69.935,NA,4.762,0.005,-122.005,-16.06
69,1,69,765.914,545.314,62921.146,242,78.644,71.527,NA,1.596,0.002,-108.435,13.57
70,1,70,765.409,543.295,63846.457,147,80.725,73.587,NA,2.081,0.002,-104.036,4.399
71,1,71,765.409,543.295,64771.768,117,80.725,73.587,NA,0,0,0,104.036
72,1,72,765.409,543.295,65697.079,107,80.725,73.587,NA,0,0,0,0
73,1,73,763.39,534.209,66622.39,102,90.034,82.779,NA,9.308,0.01,-102.529,-102.529
74,1,74,761.875,529.161,67547.701,146,95.304,88.034,NA,5.27,0.006,-106.699,-4.17
75,1,75,761.37,524.113,68473.012,120,100.377,92.942,NA,5.073,0.005,-95.711,10.989
76,1,76,761.37,523.608,69398.323,156,100.882,93.416,NA,0.505,5.456E-4,-90,5.711
77,1,77,761.37,523.608,70323.634,180,100.882,93.416,NA,0,0,0,90
78,1,78,761.37,523.608,71248.945,189,100.882,93.416,NA,0,0,0,0
79,1,79,761.37,523.608,72174.256,180,100.882,93.416,NA,0,0,0,0
80,1,80,761.37,523.608,73099.567,143,100.882,93.416,NA,0,0,0,0
81,1,81,761.37,523.608,74024.878,146,100.882,93.416,NA,0,0,0,0
82,1,82,761.37,523.608,74950.189,75,100.882,93.416,NA,0,0,0,0
83,1,83,761.37,522.598,75875.5,154,101.891,94.366,NA,1.01,0.001,-90,-90
84,1,84,761.37,522.093,76800.811,133,102.396,94.841,NA,0.505,5.456E-4,-90,0
85,1,85,761.37,522.093,77726.122,141,102.396,94.841,NA,0,0,0,90
86,1,86,761.37,522.093,78651.433,84,102.396,94.841,NA,0,0,0,0
87,1,87,761.37,519.065,79576.744,110,105.425,97.7,NA,3.029,0.003,-90,-90
88,1,88,761.37,519.065,80502.055,115,105.425,97.7,NA,0,0,0,90
89,1,89,761.37,519.065,81427.366,45,105.425,97.7,NA,0,0,0,0
90,1,90,761.37,519.065,82352.677,66,105.425,97.7,NA,0,0,0,0
91,1,91,761.37,519.065,83277.988,138,105.425,97.7,NA,0,0,0,0
92,1,92,761.37,519.065,84203.299,73,105.425,97.7,NA,0,0,0,0
93,1,93,761.37,519.065,85128.61,101,105.425,97.7,NA,0,0,0,0
94,1,94,761.37,519.065,86053.921,88,105.425,97.7,NA,0,0,0,0
95,1,95,761.37,514.521,86979.232,152,109.968,102.007,NA,4.543,0.005,-90,-90
96,1,96,761.37,508.464,87904.543,75,116.026,107.779,NA,6.058,0.007,-90,0
97,1,97,760.361,502.406,88829.854,100,122.167,113.868,NA,6.141,0.007,-99.462,-9.462
98,1,98,758.846,500.387,89755.164,148,124.691,116.241,NA,2.524,0.003,-126.87,-27.408
99,1,99,758.846,499.882,90680.475,180,125.196,116.723,NA,0.505,5.456E-4,-90,36.87
100,1,100,758.846,499.882,91605.786,170,125.196,116.723,NA,0,0,0,90
101,1,101,758.846,495.844,92531.097,129,129.234,120.589,NA,4.038,0.004,-90,-90
102,1,102,757.332,491.3,93456.408,127,134.023,125.375,NA,4.789,0.005,-108.435,-18.435
103,1,103,756.322,486.252,94381.719,121,139.171,130.502,NA,5.148,0.006,-101.31,7.125
