Nr,TID,PID,x [micron],y [micron],t [sec],I [val],Len [micron],D2S [micron],D2R [micron],D2P [micron],v [micron/sec],? [deg],?? [deg]
1,1,1,809.327,755.313,48000.947,255,0,0,NA,NA,NA,NA,NA
2,1,2,809.327,755.313,49200.971,255,0,0,NA,0,0,0,NA
3,1,3,809.327,755.313,50400.995,245,0,0,NA,0,0,0,0
4,1,4,809.327,755.313,51601.018,255,0,0,NA,0,0,0,0
5,1,5,809.327,755.313,52801.042,255,0,0,NA,0,0,0,0
6,1,6,810.841,748.75,54001.066,255,6.735,6.735,NA,6.735,0.006,-77.005,-77.005
7,1,7,810.841,746.731,55201.089,122,8.754,8.714,NA,2.019,0.002,-90,-12.995
8,1,8,811.346,746.226,56401.113,153,9.468,9.308,NA,0.714,5.949E-4,-45,45
9,1,9,811.346,746.226,57601.137,61,9.468,9.308,NA,0,0,0,45
10,1,10,812.356,741.178,58801.16,183,14.616,14.455,NA,5.148,0.004,-78.69,-78.69
11,1,11,812.86,731.082,60001.184,153,24.725,24.487,NA,10.109,0.008,-87.138,-8.448
12,1,12,812.356,722.5,61201.208,61,33.321,32.952,NA,8.596,0.007,-93.366,-6.229
13,1,13,811.346,714.424,62401.231,214,41.461,40.939,NA,8.14,0.007,-97.125,-3.759
14,1,14,808.822,704.832,63601.255,91,51.379,50.483,NA,9.918,0.008,-104.744,-7.619
15,1,15,804.279,688.174,64801.279,153,68.646,67.328,NA,17.267,0.014,-105.255,-0.512
16,1,16,802.26,681.107,66001.302,153,75.996,74.542,NA,7.35,0.006,-105.945,-0.69
17,1,17,800.24,677.573,67201.326,214,80.066,78.269,NA,4.07,0.003,-119.745,-13.799
18,1,18,799.735,674.544,68401.35,214,83.136,81.336,NA,3.071,0.003,-99.462,20.283
19,1,19,799.735,674.544,69601.374,183,83.136,81.336,NA,0,0,0,99.462
20,1,20,799.735,665.458,70801.397,91,92.223,90.366,NA,9.086,0.008,-90,-90
21,1,21,797.211,652.333,72001.421,183,105.588,103.69,NA,13.365,0.011,-100.886,-10.886
22,1,22,796.707,647.285,73201.445,255,110.661,108.763,NA,5.073,0.004,-95.711,5.175
23,1,23,796.707,646.275,74401.468,255,111.671,109.766,NA,1.01,8.413E-4,-90,5.711
24,1,24,796.707,646.275,75601.492,255,111.671,109.766,NA,0,0,0,90
25,1,25,796.707,646.275,76801.516,255,111.671,109.766,NA,0,0,0,0
26,1,26,796.707,646.275,78001.539,122,111.671,109.766,NA,0,0,0,0
27,1,27,795.697,641.732,79201.563,255,116.325,114.396,NA,4.654,0.004,-102.529,-102.529
28,1,28,795.192,635.169,80401.587,153,122.907,120.972,NA,6.582,0.005,-94.399,8.13
29,1,29,793.678,631.131,81601.61,255,127.22,125.164,NA,4.313,0.004,-110.556,-16.157
30,1,30,792.163,628.607,82801.634,255,130.163,127.863,NA,2.943,0.002,-120.964,-10.408
31,1,31,792.163,628.607,84001.658,91,130.163,127.863,NA,0,0,0,120.964
32,1,32,792.163,627.093,85201.681,183,131.678,129.364,NA,1.514,0.001,-90,-90
33,1,33,792.163,627.093,86401.705,122,131.678,129.364,NA,0,0,0,90
34,1,34,792.163,627.093,87601.729,153,131.678,129.364,NA,0,0,0,0
35,1,35,790.144,622.549,88801.752,214,136.65,134.142,NA,4.972,0.004,-113.962,-113.962
36,1,36,790.144,622.549,90001.776,122,136.65,134.142,NA,0,0,0,113.962
37,1,37,789.135,619.016,91201.8,61,140.325,137.785,NA,3.675,0.003,-105.945,-105.945
38,1,38,789.135,619.016,92401.823,214,140.325,137.785,NA,0,0,0,105.945
39,1,39,789.135,619.016,93601.847,255,140.325,137.785,NA,0,0,0,0
40,1,40,788.63,619.016,94801.871,214,140.829,137.86,NA,0.505,4.207E-4,180,180
41,1,41,788.63,619.016,96001.895,153,140.829,137.86,NA,0,0,0,-180
